head,tail,relation
盐酸普萘洛尔片,心绞痛,cure
盐酸普萘洛尔片,室性心律失常,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸普萘洛尔片,肥厚型心肌病,cure
盐酸普萘洛尔片,心绞痛,cure
盐酸普萘洛尔片,心动过速,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸普萘洛尔片,肥厚型心肌病,cure
盐酸普萘洛尔片,心绞痛,cure
盐酸普萘洛尔片,心动过速,cure
盐酸普萘洛尔片,室性心律失常,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸普萘洛尔注射液,心悸,cure
盐酸普萘洛尔片,心动过速,cure
盐酸普萘洛尔片,室性心律失常,cure
盐酸普萘洛尔片,甲状腺危象,cure
盐酸普萘洛尔片,肥厚型心肌病,cure
盐酸普萘洛尔片,心绞痛,cure
盐酸羟苄唑滴眼液,出血,cure
盐酸羟苄唑滴眼液,结膜炎,cure
盐酸羟苄唑滴眼液,出血,cure
盐酸羟苄唑滴眼液,出血,cure
盐酸青藤碱肠溶片,类风湿性关节炎,cure
盐酸青藤碱肠溶片,类风湿性关节炎,cure
盐酸青藤碱肠溶片,类风湿性关节炎,cure
盐酸曲吡那敏片,镇静,cure
盐酸曲吡那敏片,镇静,cure
盐酸曲马多片,骨折,cure
盐酸曲马多胶囊,慢性疼痛,cure
盐酸曲马多片,癌症,cure
盐酸曲马多注射液,慢性疼痛,cure
盐酸曲马多注射液,慢性疼痛,cure
盐酸曲马多滴剂,牙痛,cure
盐酸曲马多片,癌症,cure
盐酸曲马多注射液,慢性疼痛,cure
盐酸曲马多片,神经痛,cure
盐酸曲马多片,疼痛,cure
盐酸曲马多片,心脏病突发性痛,cure
盐酸曲美他嗪片,心绞痛发作,cure
盐酸曲普利啶胶囊,哮喘,cure
盐酸曲唑酮片,焦虑,cure
注射用盐酸去甲万古霉素,白喉,cure
注射用盐酸去甲万古霉素,败血症,cure
注射用盐酸去甲万古霉素,肺炎,cure
注射用盐酸去甲万古霉素,流感,cure
盐酸去氯羟嗪片,麻疹,cure
盐酸赛庚啶片,过敏,cure
盐酸赛庚啶片,皮肤瘙痒,cure
盐酸赛庚啶片,瘙痒,cure
盐酸赛庚啶片,过敏,cure
盐酸赛庚啶片,皮肤瘙痒,cure
盐酸赛庚啶片,瘙痒,cure
盐酸赛庚啶片,过敏,cure
盐酸赛洛唑啉滴鼻液,慢性鼻炎,cure
盐酸赛洛唑啉喷鼻液,鼻窦炎,cure
盐酸赛洛唑啉滴鼻液,急慢性鼻炎,cure
盐酸舍曲林胶囊,抑郁,cure
盐酸肾上腺素注射液,支气管痉挛,cure
盐酸肾上腺素注射液,休克,cure
盐酸肾上腺素注射液,心肺复苏,cure
盐酸肾上腺素注射液,过敏,cure
盐酸肾上腺素注射液,延长浸润麻醉用药的作用时间,cure
盐酸肾上腺素注射液,心脏骤停,cure
盐酸肾上腺素注射液,过敏性休克,cure
盐酸肾上腺素注射液,支气管痉挛,cure
盐酸肾上腺素注射液,休克,cure
盐酸肾上腺素注射液,心肺复苏,cure
盐酸司他斯汀片,荨麻疹,cure
盐酸四环素片,破伤风,cure
盐酸四环素胶囊,地方性斑疹伤寒,cure
盐酸四环素胶囊,溶血性链球菌感染,cure
盐酸四环素片,钩端螺旋体病,cure
盐酸四环素片,沙眼,cure
盐酸四环素胶囊,回归热,cure
盐酸四环素胶囊,兔热病,cure
盐酸四环素胶囊,链球菌感染,cure
盐酸四环素胶囊,雅司,cure
盐酸四环素胶囊,流行性斑疹伤寒,cure
盐酸四环素胶囊,支原体属感染,cure
盐酸四环素胶囊,破伤风,cure
注射用盐酸四环素,地方性斑疹伤寒,cure
盐酸四环素胶囊,回归热,cure
盐酸四环素胶囊,兔热病,cure
盐酸四环素胶囊,链球菌感染,cure
盐酸四环素胶囊,雅司,cure
盐酸四环素胶囊,流行性斑疹伤寒,cure
盐酸四环素胶囊,支原体属感染,cure
盐酸四环素片,破伤风,cure
盐酸四环素片,地方性斑疹伤寒,cure
盐酸四环素片,溶血性链球菌感染,cure
盐酸四环素片,钩端螺旋体病,cure
盐酸四环素片,沙眼,cure
盐酸四环素片,回归热,cure
盐酸四环素片,兔热病,cure
盐酸四环素片,链球菌感染,cure
盐酸四环素片,雅司,cure
盐酸四环素片,流行性斑疹伤寒,cure
盐酸四环素片,支原体属感染,cure
盐酸四环素片,破伤风,cure
注射用盐酸四环素,地方性斑疹伤寒,cure
注射用盐酸四环素,兔热病,cure
盐酸特比萘芬溶液,花斑癣,cure
盐酸特比萘芬片,足癣,cure
盐酸特比萘芬片,癣病,cure
盐酸特比萘芬乳膏,足癣,cure
盐酸特比萘芬乳膏,股癣,cure
盐酸特比萘芬乳膏,皮肤念珠菌病,cure
盐酸特比萘芬凝胶,皮肤念珠菌病,cure
盐酸特拉唑嗪胶囊,前列腺增生,cure
盐酸特拉唑嗪胶囊,前列腺增生,cure
盐酸特拉唑嗪胶囊,前列腺增生,cure
盐酸替罗非班氯化钠注射液,心肌梗塞,cure
盐酸头孢他美酯片,气管炎,cure
盐酸头孢他美酯片,呼吸道感染,cure
盐酸头孢他美酯片,尿路感染,cure
盐酸头孢他美酯片,尿路感染,cure
盐酸头孢他美酯片,扁桃体炎,cure
盐酸头孢他美酯片,下呼吸道感染,cure
盐酸头孢他美酯片,泌尿系统感染,cure
盐酸头孢他美酯片,中耳炎,cure
盐酸头孢他美酯片,肾炎,cure
盐酸头孢他美酯片,急性支气管炎,cure
盐酸头孢他美酯片,尿路感染,cure
盐酸头孢他美酯片,尿路感染,cure
盐酸土霉素片,痤疮,cure
盐酸土霉素片,流行性斑疹伤寒,cure
盐酸土霉素片,衣原体属感染,cure
盐酸土霉素片,急性肠道阿米巴病,cure
盐酸土霉素片,伤风,cure
盐酸土霉素片,过敏,cure
盐酸土霉素片,破伤风,cure
盐酸土霉素片,痤疮,cure
盐酸土霉素片,流行性斑疹伤寒,cure
盐酸土霉素片,衣原体属感染,cure
盐酸土霉素片,急性肠道阿米巴病,cure
盐酸土霉素片,伤风,cure
盐酸土霉素片,过敏,cure
盐酸土霉素片,破伤风,cure
盐酸土霉素片,痤疮,cure
盐酸土霉素片,流行性斑疹伤寒,cure
盐酸土霉素片,衣原体属感染,cure
盐酸土霉素片,急性肠道阿米巴病,cure
盐酸土霉素片,伤风,cure
盐酸土霉素片,过敏,cure
盐酸土霉素片,破伤风,cure
盐酸土霉素片,痤疮,cure
盐酸土霉素片,流行性斑疹伤寒,cure
盐酸土霉素片,衣原体属感染,cure
盐酸土霉素片,急性肠道阿米巴病,cure
盐酸土霉素片,伤风,cure
盐酸土霉素片,过敏,cure
盐酸土霉素片,破伤风,cure
盐酸土霉素片,痤疮,cure
盐酸土霉素片,流行性斑疹伤寒,cure
盐酸土霉素片,衣原体属感染,cure
盐酸土霉素片,急性肠道阿米巴病,cure
盐酸土霉素片,伤风,cure
盐酸托哌酮片,动脉硬化,cure
盐酸托哌酮片,动脉硬化,cure
盐酸托哌酮片,动脉硬化,cure
盐酸托哌酮片,内膜炎,cure
盐酸托哌酮胶囊,动脉硬化,cure
盐酸妥卡尼片,室性心律失常,cure
盐酸妥卡尼片,心动过速,cure
盐酸妥洛特罗片,支气管炎,cure
盐酸妥洛特罗片,哮喘,cure
盐酸妥洛特罗片,喘息性支气管炎,cure
盐酸妥洛特罗片,支气管哮喘,cure
盐酸妥洛特罗片,肺气肿,cure
盐酸妥洛特罗片,支气管炎,cure
盐酸维拉帕米片,房扑,cure
盐酸维拉帕米注射液,心动过速,cure
盐酸维拉帕米片,原发性高血压,cure
盐酸维拉帕米片,房扑,cure
盐酸维拉帕米片,室上性心动过速,cure
盐酸维拉帕米片,心房颤动,cure
盐酸维拉帕米片,心绞痛,cure
盐酸维拉帕米片,原发性高血压,cure
盐酸维拉帕米注射液,房扑,cure
注射用盐酸维拉帕米,房扑,cure
盐酸维拉帕米注射液,房扑,cure
盐酸维拉帕米注射液,房扑,cure
盐酸维拉帕米注射液,房扑,cure
盐酸维拉帕米注射液,房扑,cure
盐酸伪麻黄碱片,鼻充血,cure
复方盐酸伪麻黄碱缓释胶囊,流涕,cure
盐酸西替利嗪胶囊,常年性过敏性鼻炎,cure
盐酸西替利嗪口服溶液,荨麻疹,cure
盐酸西替利嗪胶囊,荨麻疹,cure
盐酸西替利嗪滴剂,皮肤瘙痒,cure
盐酸西替利嗪胶囊,过敏性鼻炎,cure
盐酸西替利嗪胶囊,过敏性鼻炎,cure
盐酸西替利嗪分散片,过敏性鼻炎,cure
盐酸消旋山莨菪碱注射液,微循环障碍,cure
盐酸消旋山莨菪碱注射液,有机磷中毒,cure
盐酸消旋山莨菪碱注射液,平滑肌痉挛,cure
盐酸消旋山莨菪碱注射液,胃肠绞痛,cure
盐酸小檗碱片,肠道感染,cure
盐酸小檗碱片,肠道感染,cure
盐酸小檗碱胶囊,胃肠道感染,cure
盐酸小檗碱胶囊,肠道感染,cure
小檗碱甲氧苄啶胶囊,胃肠炎,cure
盐酸溴己新片,哮喘,cure
盐酸溴己新片,哮喘,cure
盐酸溴己新片,支气管扩张,cure
盐酸溴己新片,哮喘,cure
盐酸溴己新片,哮喘,cure
盐酸溴己新片,哮喘,cure
盐酸依米丁注射液,痢疾,cure
盐酸依普拉酮片,肺气肿,cure
盐酸依普拉酮片,气管炎,cure
盐酸依普拉酮片,镇咳,cure
盐酸依普拉酮片,肺气肿,cure
盐酸依普拉酮片,气管炎,cure
盐酸依普拉酮片,镇咳,cure
盐酸乙胺丁醇胶囊,肺结核,cure
盐酸乙胺丁醇片,结核性脑膜炎,cure
盐酸乙胺丁醇片,肺结核,cure
盐酸乙胺丁醇片,肺结核,cure
盐酸异丙嗪片,麻疹,cure
盐酸异丙嗪片,麻疹,cure
盐酸异丙嗪片,麻疹,cure
盐酸异丙嗪注射液,过敏性结膜炎,cure
盐酸异丙嗪注射液,晕动病,cure
盐酸异丙嗪注射液,手术,cure
盐酸异丙嗪注射液,过敏,cure
盐酸异丙嗪注射液,晕车,cure
盐酸异丙嗪注射液,呕吐,cure
盐酸异丙嗪注射液,镇痛,cure
盐酸异丙嗪片,晕车,cure
盐酸异丙嗪注射液,手术,cure
盐酸异丙嗪注射液,过敏,cure
盐酸异丙嗪注射液,晕车,cure
盐酸异丙嗪注射液,呕吐,cure
盐酸异丙嗪注射液,镇痛,cure
盐酸异丙嗪注射液,血管运动性鼻炎,cure
盐酸异丙嗪片,结膜炎,cure
盐酸异丙嗪片,过敏,cure
盐酸异丙嗪片,晕动症,cure
盐酸异丙嗪片,荨麻疹,cure
盐酸异丙嗪片,呕吐,cure
盐酸异丙嗪片,结膜炎,cure
盐酸异丙嗪片,过敏,cure
盐酸异丙嗪片,晕动症,cure
盐酸异丙嗪片,荨麻疹,cure
盐酸异丙嗪注射液,皮肤粘膜的过敏,cure
盐酸异丙嗪注射液,鼻炎,cure
盐酸异丙嗪注射液,荨麻疹,cure
盐酸异丙肾上腺素片,支气管哮喘,cure
盐酸异丙肾上腺素气雾剂,支气管哮喘,cure
盐酸异丙肾上腺素注射液,休克,cure
盐酸左旋咪唑片,线虫病,cure
盐酸左旋咪唑搽剂,鼻炎,cure
盐酸左旋咪唑搽剂,哮喘,cure
盐酸左旋咪唑搽剂,过敏,cure
盐酸左旋咪唑糖浆,线虫病,cure
盐酸左旋咪唑搽剂,过敏性鼻炎,cure
盐酸左旋咪唑片,线虫病,cure
盐酸左旋咪唑宝塔糖,线虫病,cure
盐酸左旋氧氟沙星注射液,皮肤软组织感染,cure
盐酸左氧氟沙星胶囊,尿路感染,cure
盐酸左氧氟沙星胶囊,支气管感染,cure
盐酸左氧氟沙星胶囊,腹腔感染,cure
盐酸左氧氟沙星胶囊,皮肤软组织,cure
盐酸左氧氟沙星胶囊,生殖系统感染,cure
盐酸左氧氟沙星胶囊,支气管炎,cure
盐酸左氧氟沙星胶囊,尿路感染,cure
盐酸左氧氟沙星胶囊,支气管感染急性发作,cure
盐酸左氧氟沙星胶囊,皮肤软组织,cure
盐酸左氧氟沙星胶囊,败血症,cure
盐酸左氧氟沙星胶囊,皮肤软组织感染,cure
盐酸左氧氟沙星胶囊,肠道感染,cure
盐酸左氧氟沙星胶囊,前列腺炎,cure
盐酸左氧氟沙星胶囊,肺部感染,cure
盐酸左氧氟沙星胶囊,全身感染,cure
盐酸左氧氟沙星胶囊,宫颈炎,cure
盐酸左氧氟沙星胶囊,软组织感染,cure
注射用盐酸左氧氟沙星,骨和关节感染,cure
注射用盐酸左氧氟沙星,生殖系统感染,cure
盐酸左氧氟沙星分散片,呼吸道感染,cure
盐酸左氧氟沙星分散片,胃肠道感染,cure
注射用盐酸左氧氟沙星,淋病,cure
注射用盐酸左氧氟沙星,细菌性前列腺炎,cure
注射用盐酸左氧氟沙星,泌尿生殖系统感染,cure
注射用盐酸左氧氟沙星,尿路感染,cure
注射用盐酸左氧氟沙星,尿道炎,cure
注射用盐酸左氧氟沙星,尿路感染,cure
注射用盐酸左氧氟沙星,尿路感染,cure
注射用盐酸左氧氟沙星,支气管感染,cure
注射用盐酸左氧氟沙星,尿路感染,cure
注射用盐酸左氧氟沙星,支气管感染急性发作,cure
注射用盐酸左氧氟沙星,皮肤软组织,cure
盐酸左氧氟沙星胶囊,败血症,cure
盐酸左氧氟沙星胶囊,急性前列腺炎,cure
盐酸左氧氟沙星胶囊,气管炎,cure
盐酸左氧氟沙星胶囊,手术后伤口感染,cure
洋地黄毒甙片,充血型心力衰竭,cure
氧氟沙星胶囊,尿路感染,cure
氧氟沙星胶囊,支气管感染,cure
氧氟沙星胶囊,尿路感染,cure
氧氟沙星胶囊,支气管感染急性发作,cure
氧氟沙星胶囊,皮肤软组织,cure
氧氟沙星胶囊,败血症,cure
氧氟沙星胶囊,皮肤软组织感染,cure
氧氟沙星胶囊,肠道感染,cure
氧氟沙星胶囊,前列腺炎,cure
氧氟沙星胶囊,肺部感染,cure
氧氟沙星胶囊,全身感染,cure
氧氟沙星胶囊,宫颈炎,cure
氧氟沙星胶囊,软组织感染,cure
氧氟沙星胶囊,骨和关节感染,cure
氧氟沙星胶囊,生殖系统感染,cure
氧氟沙星栓,阴道炎,cure
氧氟沙星软膏,湿疹合并感染,cure
注射用氧氟沙星,泌尿生殖系统感染,cure
注射用氧氟沙星,尿路感染,cure
氧氟沙星眼膏,术后感染,cure
氧氟沙星滴耳液,鼓膜炎,cure
氧氟沙星软膏,癣病合并感染,cure
氧氟沙星滴耳液,外耳道炎,cure
氧氟沙星滴耳液,中耳炎,cure
注射用氧氟沙星,宫颈炎,cure
注射用氧氟沙星,软组织感染,cure
注射用氧氟沙星,骨和关节感染,cure
注射用氧氟沙星,生殖系统感染,cure
注射用氧氟沙星,呼吸道感染,cure
注射用氧氟沙星,胃肠道感染,cure
注射用氧氟沙星,淋病,cure
注射用氧氟沙星,细菌性前列腺炎,cure
注射用氧氟沙星,泌尿生殖系统感染,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,淋病,cure
注射用氧氟沙星,细菌性前列腺炎,cure
注射用氧氟沙星,泌尿生殖系统感染,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,尿道炎,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,尿路感染,cure
注射用氧氟沙星,支气管感染,cure
氧氟沙星栓,细菌性阴道炎,cure
氧氟沙星颗粒,细菌感染,cure
氧氟沙星葡萄糖注射液,尿路感染,cure
氧氟沙星葡萄糖注射液,支气管感染,cure
氧氟沙星葡萄糖注射液,尿路感染,cure
氧氟沙星葡萄糖注射液,支气管感染急性发作,cure
氧氟沙星葡萄糖注射液,皮肤软组织,cure
氧氟沙星葡萄糖注射液,败血症,cure
氧氟沙星葡萄糖注射液,皮肤软组织感染,cure
氧氟沙星葡萄糖注射液,肠道感染,cure
氧氟沙星葡萄糖注射液,前列腺炎,cure
氧氟沙星葡萄糖注射液,肺部感染,cure
氧氟沙星葡萄糖注射液,全身感染,cure
氧氟沙星葡萄糖注射液,宫颈炎,cure
氧氟沙星葡萄糖注射液,软组织感染,cure
氧氟沙星葡萄糖注射液,骨和关节感染,cure
氧氟沙星葡萄糖注射液,生殖系统感染,cure
氧氟沙星葡萄糖注射液,呼吸道感染,cure
氧氟沙星葡萄糖注射液,胃肠道感染,cure
氧化铅外用散,止痒,cure
氧化锌软膏,溃疡,cure
氧化锌软膏,皮炎,cure
氧化锌软膏,湿疹,cure
氧化锌升华硫软膏,痤疮,cure
氧化亚氮,全麻,cure
叶酸片,胎儿神经管畸形,cure
伊曲康唑胶囊,系统性或热带真菌病,cure
伊曲康唑胶囊,外阴阴道念珠菌病,cure
伊曲康唑胶囊,热带真菌病,cure
依巴斯汀片,麻疹,cure
依巴斯汀片,瘙痒,cure
依诺沙星胶囊,泌尿生殖系统感染,cure
依诺沙星胶囊,尿路感染,cure
依诺沙星片,尿道炎,cure
依诺沙星片,尿路感染,cure
依诺沙星软膏,足癣,cure
依诺沙星软膏,足癣合并细菌感染,cure
依诺沙星片,皮肤软组织,cure
依诺沙星片,败血症,cure
依诺沙星片,皮肤软组织感染,cure
依诺沙星滴眼液,结膜炎,cure
依诺沙星胶囊,尿路感染,cure
依诺沙星胶囊,支气管感染急性发作,cure
依诺沙星片,皮肤软组织,cure
依诺沙星胶囊,败血症,cure
依诺沙星胶囊,皮肤软组织感染,cure
依诺沙星胶囊,肠道感染,cure
依诺沙星胶囊,前列腺炎,cure
依诺沙星胶囊,肺部感染,cure
依诺沙星胶囊,全身感染,cure
依诺沙星软膏,脓疱,cure
依诺沙星胶囊,骨和关节感染,cure
依诺沙星胶囊,生殖系统感染,cure
依诺沙星片,呼吸道感染,cure
依诺沙星片,胃肠道感染,cure
依诺沙星胶囊,淋病,cure
依诺沙星胶囊,细菌性前列腺炎,cure
依诺沙星胶囊,泌尿生殖系统感染,cure
依诺沙星胶囊,尿路感染,cure
依诺沙星软膏,细菌感染,cure
依诺沙星片,尿路感染,cure
依诺沙星片,支气管感染,cure
依诺沙星软膏,足癣合并细菌感染,cure
依诺沙星胶囊,皮肤软组织,cure
依诺沙星胶囊,败血症,cure
依诺沙星胶囊,皮肤软组织感染,cure
依诺沙星软膏,疖肿,cure
依诺沙星胶囊,肺部感染,cure
依诺沙星胶囊,全身感染,cure
依诺沙星片,肺炎,cure
依诺沙星片,皮肤软组织感染,cure
依诺沙星片,外科手术后,cure
依诺沙星软膏,皮肤软组织,cure
依诺沙星片,淋病,cure
依诺沙星片,细菌性前列腺炎,cure
依诺沙星软膏,疖肿,cure
依诺沙星片,肺部感染,cure
依诺沙星片,全身感染,cure
依诺沙星滴眼液,角膜炎,cure
依诺沙星片,尿路感染,cure
依诺沙星片,支气管感染,cure
依诺沙星片,尿路感染,cure
依诺沙星片,支气管感染急性发作,cure
依他尼酸片,肾病,cure
依他尼酸片,循环功能不全,cure
依他尼酸片,肾功能不全,cure
依他尼酸片,药物中毒,cure
注射用依他尼酸钠,肾功能衰竭,cure
注射用依他尼酸钠,原发性高血压,cure
依托泊苷注射液,急性粒细胞白血病,cure
依托泊苷注射液,急性粒细胞白血病,cure
依托泊苷注射液,急性粒细胞白血病,cure
依托泊苷注射液,急性粒细胞白血病,cure
依托泊苷注射液,神经母细胞癌,cure
依托度酸片,关节炎,cure
依托度酸片,类风湿关节炎,cure
依托度酸缓释片,疼痛,cure
依托度酸缓释片,疼痛,cure
依托度酸胶囊,疼痛,cure
依托度酸胶囊,疼痛,cure
依托芬那酯乳膏,椎关节强直,cure
依托红霉素片,急性咽炎,cure
依托红霉素片,心脏病,cure
依托红霉素颗粒,肺炎,cure
依托红霉素颗粒,生殖系感染,cure
依托红霉素颗粒,白喉,cure
依托红霉素颗粒,内膜炎,cure
依托红霉素颗粒,咽炎,cure
依托红霉素颗粒,风湿热,cure
依托红霉素颗粒,先天性心脏病,cure
依托红霉素颗粒,鼻窦炎,cure
依托红霉素颗粒,沙眼,cure
依托红霉素颗粒,风湿热复发,cure
依托红霉素颗粒,急性扁桃体炎,cure
依托红霉素颗粒,心脏瓣膜置换术后,cure
依托红霉素颗粒,肠炎,cure
依托红霉素颗粒,伤风,cure
依托红霉素颗粒,支原体肺炎,cure
依托红霉素片,结膜炎,cure
依托红霉素片,猩红热,cure
依托红霉素颗粒,风湿,cure
依托红霉素颗粒,炭疽,cure
依托红霉素混悬液,败血症,cure
依托红霉素片,风湿热,cure
依托红霉素片,先天性心脏病,cure
依托红霉素胶囊,鼻窦炎,cure
依托红霉素胶囊,破伤风,cure
依托红霉素胶囊,咽炎,cure
依托红霉素胶囊,风湿,cure
依托红霉素胶囊,上呼吸道感染,cure
依托红霉素胶囊,口腔或上呼吸道感染,cure
依托红霉素胶囊,急性咽炎,cure
依托红霉素胶囊,心脏病,cure
依托红霉素片,肺炎,cure
依托红霉素片,生殖系感染,cure
依托红霉素片,白喉,cure
依托红霉素片,内膜炎,cure
依托红霉素片,咽炎,cure
依托红霉素片,风湿热,cure
依托红霉素片,先天性心脏病,cure
依托红霉素片,鼻窦炎,cure
依托红霉素片,沙眼,cure
依托红霉素片,风湿热复发,cure
依托红霉素片,急性扁桃体炎,cure
依托红霉素片,心脏瓣膜置换术后,cure
依托红霉素片,肠炎,cure
依托红霉素片,伤风,cure
依托红霉素片,支原体肺炎,cure
依托红霉素片,结膜炎,cure
依托红霉素片,猩红热,cure
依托红霉素片,风湿,cure
依托红霉素片,炭疽,cure
依托红霉素片,百日咳,cure
依托红霉素片,破伤风,cure
依托红霉素片,厌氧菌所致口腔感染,cure
依托红霉素胶囊,过敏,cure
依托红霉素胶囊,炭疽,cure
依托红霉素胶囊,白喉,cure
依托红霉素胶囊,结膜炎,cure
依托红霉素胶囊,心脏病,cure
依托红霉素胶囊,肠炎,cure
依托红霉素胶囊,沙眼衣原体结膜炎,cure
依托红霉素胶囊,风湿热复发,cure
依托红霉素胶囊,过敏,cure
依托红霉素胶囊,炭疽,cure
依托红霉素颗粒,白喉,cure
依托红霉素颗粒,内膜炎,cure
依托红霉素颗粒,咽炎,cure
依托红霉素颗粒,风湿热,cure
依托红霉素颗粒,先天性心脏病,cure
依西美坦胶囊,乳腺癌,cure
注射用胰蛋白酶,出血,cure
胰岛素注射液,肝硬变,cure
胰岛素注射液,中毒,cure
胰岛素注射液,消瘦,cure
胰岛素注射液,糖尿病酮症酸中毒,cure
胰岛素注射液,视网膜病,cure
胰岛素注射液,肝硬变,cure
胰岛素注射液,中毒,cure
胰岛素注射液,消瘦,cure
胰岛素注射液,糖尿病酮症酸中毒,cure
胰岛素注射液,视网膜病,cure
胰岛素注射液,肝硬变,cure
胰岛素注射液,营养不良,cure
注射用胰激肽原酶,眼底病,cure
注射用胰激肽原酶,眼底病,cure
注射用胰激肽原酶,眼底病,cure
注射用胰激肽原酶,眼底病,cure
注射用胰激肽原酶,眼底病,cure
注射用胰激肽原酶,眼底病,cure
注射用胰激肽原酶,眼底病,cure
胰酶肠溶片,消化不良,cure
注射用乙胺硫脲,脑外伤,cure
注射用乙胺硫脲,一氧化碳中毒,cure
注射用乙胺硫脲,外伤,cure
注射用乙胺硫脲,脑血管病,cure
注射用乙胺硫脲,中毒,cure
乙胺嘧啶片,疟疾,cure
乙水杨胺片,镇痛,cure
乙水杨胺片,中度疼痛,cure
乙酰半胱氨酸胶囊,急性支气管炎,cure
乙酰吉他霉素颗粒剂,下呼吸道感染,cure
乙酰吉他霉素口含片,冠周炎,cure
乙酰螺旋霉素胶囊,慢性支气管炎,cure
乙酰螺旋霉素胶囊,扁桃体炎,cure
乙酰螺旋霉素胶囊,支气管炎,cure
乙酰螺旋霉素胶囊,软组织感染,cure
乙酰螺旋霉素胶囊,皮肤软组织感染,cure
乙酰螺旋霉素胶囊,慢性支气管炎,cure
乙酰螺旋霉素胶囊,扁桃体炎,cure
乙酰螺旋霉素胶囊,支气管炎,cure
乙酰螺旋霉素胶囊,软组织感染,cure
乙酰螺旋霉素胶囊,皮肤软组织感染,cure
乙酰螺旋霉素胶囊,慢性支气管炎,cure
乙酰麦迪霉素颗粒,肺炎,cure
乙酰水杨酸片,类风湿性关节炎,cure
乙酰水杨酸肠溶片,关节炎,cure
乙酰水杨酸肠溶片,风湿热,cure
乙酰天麻素片,疲劳,cure
乙酰乌头碱片,带状疱疹,cure
乙酰唑胺片,手术,cure
乙酰唑胺片,手术,cure
乙酰唑胺片,手术,cure
乙酰唑胺片,手术,cure
已烯雌酚片,发育不良,cure
已烯雌酚片,手术,cure
已烯雌酚片,萎缩性阴道炎,cure
已烯雌酚片,发育不良,cure
已烯雌酚片,手术,cure
已烯雌酚片,萎缩性阴道炎,cure
已烯雌酚片,发育不良,cure
异丁司特缓释片,支气管哮喘,cure
异山梨醇口服液,水肿,cure
异戊巴比妥片,伤风,cure
异烟肼片,肺结核,cure
异烟肼片,脑膜炎,cure
异烟肼片,结核病,cure
异烟肼片,矽肺,cure
异烟肼片,脑膜炎,cure
异烟肼片,结核病,cure
异烟肼片,血液病,cure
注射用异烟肼,肺结核,cure
异烟肼片,糖尿病,cure
异烟肼片,结核性脑膜炎,cure
异烟肼片,肺结核,cure
异烟肼片,矽肺,cure
异烟肼片,脑膜炎,cure
异烟肼片,结核病,cure
异烟肼片,血液病,cure
益多酯片,高胆固醇血症,cure
吲达帕胺片,高血压,cure
吲达帕胺片,糖尿病,cure
吲达帕胺片,糖尿病,cure
吲达帕胺缓释片,原发性高血压,cure
吲达帕胺片,肾性高血压,cure
吲达帕胺片,高血压,cure
吲哚布芬片,动脉硬化,cure
注射用吲哚菁绿,肝病,cure
吲哚美辛控释胶囊,恶性肿瘤,cure
吲哚美辛控释胶囊,痛经,cure
吲哚美辛乳膏,疼痛,cure
吲哚美辛控释胶囊,恶性肿瘤,cure
吲哚美辛控释胶囊,痛经,cure
吲哚美辛片,关节炎,cure
吲哚美辛栓,关节炎,cure
吲哚美辛片,组织损伤,cure
吲哚美辛乳膏,增生性关节炎,cure
吲哚美辛栓,类风湿性关节炎,cure
吲哚美辛片,创伤,cure
吲哚美辛胶囊,偏头痛,cure
吲哚美辛栓,骨关节炎,cure
吲哚美辛控释片,风湿性关节炎,cure
吲哚美辛缓释片,痛风,cure
吲哚美辛滴眼液,眼科手术,cure
吲哚美辛控释胶囊,痛风,cure
吲哚美辛乳膏,神经炎,cure
吲哚美辛片,痛经,cure
吲哚美辛片,组织损伤,cure
吲哚美辛栓,关节炎,cure
吲哚美辛片,组织损伤,cure
吲哚美辛栓,风湿性关节炎,cure
吲哚美辛片,痛经,cure
吲哚美辛乳膏,疼痛,cure
吲哚美辛胶囊,偏头痛,cure
吲哚美辛栓,类风湿性关节炎,cure
吲哚美辛胶囊,创伤,cure
吲哚美辛胶囊,偏头痛,cure
吲哚美辛胶囊,手术,cure
吲哚美辛胶囊,疼痛,cure
吲哚美辛胶囊,头痛,cure
吲哚美辛片,创伤,cure
吲哚美辛搽剂,关节炎,cure
吲哚美辛搽剂,扭伤,cure
吲哚美辛搽剂,关节炎,cure
吲哚美辛胶囊,痛经,cure
吲哚美辛控释胶囊,强直性脊椎炎,cure
吲哚美辛肠溶片,疼痛,cure
吲哚美辛肠溶片,头痛,cure
吲哚美辛肠溶片,创伤,cure
吲哚美辛肠溶片,偏头痛,cure
吲哚美辛肠溶片,手术,cure
吲哚美辛肠溶片,疼痛,cure
吲哚美辛肠溶片,头痛,cure
吲哚美辛肠溶片,创伤,cure
吲哚美辛三七冰片栓,内痔,cure
荧光素钠注射液,结核性脑膜炎,cure
硬脂酸红霉素片,风湿,cure
硬脂酸红霉素片,炭疽,cure
硬脂酸红霉素颗粒,百日咳,cure
硬脂酸红霉素颗粒,破伤风,cure
硬脂酸红霉素颗粒,厌氧菌所致口腔感染,cure
